fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas
17/07/2026,Escenario Bosque,Voltio,19:00,21.30,None,Posible Retraso
15/07/2026,Escenario Sol,Pandora,17:30,18:00,4:00 Pm,None
15/7/2026,Escenario Luna,Brújula,17:30,19:30,16:00,None
16/07/2026,Escenario Bosque,The Electric Sheep,20.00,22:30,18:00,Artista Confirmado
16/07/2026,Escenario Luna,Sendero,,14:00,None,None
16/07/2026,Escenario Sol,Xilófono,15:00,4:30 PM,1:00 Pm,None
15/07/2026,Escenario Río,Iridiscente,1700,18:30,15:00,None
17/07/2026,Escenario Principal,Los Invisibles,1200,1300,1100,Patrocinado Por Red Bull
15/07/2026,Escenario Sol,Café Quemado,20:00,21:30,18.00,Patrocinado Por Red Bull
16/07/2026,Escenario Bosque,Beto Y Los Fugitivos,1300,14:00,12:00,Posible Retraso
15/07/2026,Escenario Luna,Bajo Presión,2:30 PM,3:00 PM,12:00,None
17/07/2026,Escenario Principal,Hipnosis,11:30,12.00,10:00,Posible Retraso
16/07/26,Escenario Principal,Kometa,2130,10:00 PM,19:00,None
16/07/2026,Escenario Bosque,Horizonte,2200,0:00,2000,Requiere Pantalla Led
17/07/2026,Escenario Principal,Fulgor,5:00 PM,18:00,1500,None
16/07/2026,Escenario Principal,Equinoccio,13.00,14:00,11:00 Am,Patrocinado Por Red Bull
16/07/2026,Escenario Río,Pulso Urbano,1430,1600,12:00,Patrocinado Por Red Bull
17/07/2026,Escenario Bosque,Los Pioneros,1830,7:30 PM,17.00,None
15/07/2026,Escenario Río,Rapsodia,20:30,9:00 PM,7:00 Pm,Necesita Piano De Cola
17/7/2026,Escenario Río,Titanio,12:30 PM,13:00,10:00,Equipo Propio De Sonido
17/07/2026,Escenario Luna,Eclipse Total,21.30,23:30,7:00 Pm,
17/07/26,Escenario Río,Clave De Sol,13:00,15.30,1200,Importante: Carga Eléctrica Extra
16/07/2026,Escenario Principal,Amanecer,1630,1830,None,Posible Retraso
15/07/2026,Escenario Luna,Alma Negra,20:00,21:30,19:00,
16/7/2026,Escenario Sol,Loto,19:00,20.00,18:00,None
16/07/2026,Escenario Luna,El Circo Eléctrico,10:30 PM,00:00,None,
17/07/2026,Escenario Principal,Diáspora,18.00,20.30,16:00,Importante: Carga Eléctrica Extra
17/07/2026,Escenario Río,Obsidiana,23.00,0:30,21:00,None
,Escenario Principal,Cáctus,1900,22:00,None,None
15/07/2026,Escenario Río,Los Eternos,11.00,13:00,9:00 Am,Requiere Pantalla Led
15/07/2026,Escenario Luna,Oasis Sonoro,22.00,1800,1600,Error Horario Posible
17/07/2026,Escenario Principal,Grafito,2000,21.30,19.00,None
16/07/2026,Escenario Luna,Tempestad,21.00,22:30,2000,Cambio De Última Hora
16/07/2026,Escenario Bosque,Grieta,04.00,6:00,None,None
16/07/2026,Escenario Río,Ritmo Salvaje,18.00,22:00,None,None
16/07/26,Escenario Luna,Clave De Sol,17:00,1800,15.00,
16/07/2026,Escenario Luna,Wavelength,15.00,1600,2:00 Pm,Artista Confirmado
17/07/2026,Escenario Sol,Andén Cero,7:30 PM,21.30,1800,Necesita Piano De Cola
15/07/2026,Escenario Bosque,Bumerán,19:00,9:00 PM,17.00,Artista Confirmado
15/07/2026,Escenario Río,Ónix,1:00 PM,15:00,11:00,Sin Requisitos Especiales
16/07/2026,Escenario Bosque,Solsticio,02:00,04.00,0:00 Am,Cambio De Última Hora
16/07/2026,Escenario Sol,None,,16:00,None,None
16/7/2026,Escenario Río,Lava,02.00,0330,01:00,Artista Confirmado
16/07/2026,Escenario Principal,Los Olvidados,0030,1:00,23.00,Sin Requisitos Especiales
17/07/2026,Escenario Principal,Iridiscente,13:00,2:30 PM,11:00,Requiere Pantalla Led
17/07/2026,Escenario Sol,None,21:00,20.00,None,None
15/07/26,Escenario Bosque,None,1300,13:00,None,None
15/07/2026,Escenario Río,Ícaro,6:30 PM,19.00,None,Patrocinado Por Red Bull
17/7/2026,Escenario Bosque,Los Satélites,1630,18.30,15.00,None
,Escenario Sol,Los Vagabundos,,,None,None
15/07/2026,Escenario Principal,Kilómetro Cero,12:00,13:30,11:00 Am,None
16/07/2026,Escenario Principal,Lux,1800,20:00,1700,Requiere Pantalla Led
,Escenario Bosque,Bermellón,,10:00 PM,None,None
17/07/2026,Escenario Sol,Ritmo Salvaje,12:00,13.00,None,Importante: Carga Eléctrica Extra
17/07/26,Escenario Luna,Melodía Errante,22:00,18.00,16:00,Error Horario Posible
16/07/2026,Escenario Río,Impulso,13.30,14.00,11:00 Am,
15/07/2026,Escenario Luna,Cristal Roto,19.00,2000,18:00,Requiere Pantalla Led
16/07/26,Escenario Sol,Mala Hierba,17.00,18:00,16:00,Patrocinado Por Red Bull
17/07/26,Escenario Río,Duende,3:30 PM,16:00,13:00,None
16/07/2026,Escenario Luna,Géminis,16:00,1700,14.00,None
15/07/2026,Escenario Bosque,Clave De Sol,11:00,1230,1000,Equipo Propio De Sonido
17/07/2026,Escenario Sol,Atardecer,1800,19:00,16:00,None
